index,Regione,Arrivi,Presenze,ID_Regione
0,Abruzzo,23898.0,115078.0,13
1,Abruzzo,20206.0,99798.0,13
2,Abruzzo,20665.0,96574.0,13
3,Abruzzo,23295.0,103188.0,13
4,Basilicata,22207.0,66997.0,17
5,Basilicata,20469.0,67404.0,17
6,Basilicata,21506.0,70356.0,17
7,Basilicata,20957.0,60527.0,17
8,Calabria,12555.0,42399.0,18
9,Calabria,13625.0,54829.0,18
10,Calabria,13035.0,55239.0,18
11,Calabria,16185.0,57782.0,18
12,Campania,44794.0,209454.0,15
13,Campania,42759.0,199377.0,15
14,Campania,39588.0,184439.0,15
15,Campania,39539.0,189157.0,15
16,Emilia-Romagna,71503.0,232704.0,8
17,Emilia-Romagna,72123.0,248426.0,8
18,Emilia-Romagna,81803.0,253482.0,8
19,Emilia-Romagna,95161.0,285850.0,8
20,Friuli-Venezia Giulia,39466.0,117926.0,6
21,Friuli-Venezia Giulia,44832.0,127497.0,6
22,Friuli-Venezia Giulia,49156.0,154621.0,6
23,Friuli-Venezia Giulia,57724.0,175888.0,6
24,Lazio,24579.0,106840.0,12
25,Lazio,21876.0,93022.0,12
26,Lazio,29047.0,123418.0,12
27,Lazio,28417.0,129977.0,12
28,Liguria,31163.0,134017.0,7
29,Liguria,42374.0,182439.0,7
30,Liguria,43207.0,192891.0,7
31,Liguria,49825.0,218165.0,7
32,Lombardia,78738.0,284722.0,3
33,Lombardia,84247.0,307457.0,3
34,Lombardia,94364.0,316099.0,3
35,Lombardia,110319.0,371739.0,3
36,Marche,65070.0,276196.0,11
37,Marche,89793.0,365051.0,11
38,Marche,121698.0,493027.0,11
39,Marche,144849.0,556402.0,11
40,Molise,3491.0,8842.0,14
41,Molise,4144.0,11646.0,14
42,Molise,4570.0,11255.0,14
43,Molise,6932.0,18135.0,14
44,Piemonte,72531.0,220757.0,1
45,Piemonte,77626.0,218200.0,1
46,Piemonte,87681.0,242608.0,1
47,Piemonte,103404.0,278578.0,1
48,Puglia,53012.0,209859.0,16
49,Puglia,57024.0,207059.0,16
50,Puglia,67276.0,247034.0,16
51,Puglia,71144.0,244963.0,16
52,Sardegna,11620.0,48099.0,20
53,Sardegna,13231.0,45174.0,20
54,Sardegna,11318.0,41449.0,20
55,Sardegna,7456.0,32483.0,20
56,Sicilia,88613.0,332550.0,19
57,Sicilia,85165.0,262461.0,19
58,Sicilia,91005.0,284973.0,19
59,Sicilia,99863.0,293410.0,19
60,Toscana,557616.0,3039261.0,9
61,Toscana,562375.0,2999039.0,9
62,Toscana,574674.0,3047778.0,9
63,Toscana,628424.0,3296704.0,9
64,Trentino-Alto Adige,290487.0,1902581.0,4
65,Trentino-Alto Adige,313066.0,2033829.0,4
66,Trentino-Alto Adige,332119.0,2145786.0,4
67,Trentino-Alto Adige,360459.0,2238349.0,4
68,Umbria,248094.0,975724.0,10
69,Umbria,241615.0,944704.0,10
70,Umbria,258182.0,978534.0,10
71,Umbria,285259.0,1073334.0,10
72,Valle d'Aosta,8087.0,27256.0,2
73,Valle d'Aosta,7452.0,25241.0,2
74,Valle d'Aosta,8300.0,25518.0,2
75,Valle d'Aosta,10144.0,28637.0,2
76,Veneto,130968.0,434831.0,5
77,Veneto,139776.0,469750.0,5
78,Veneto,160906.0,532419.0,5
79,Veneto,183731.0,587898.0,5
