index,Regione,Arrivi,Presenze,ID_Regione
0,Abruzzo,1355162.0,5122867.0,13
1,Abruzzo,1114383.0,4648677.0,13
2,Abruzzo,1218822.0,4947108.0,13
3,Abruzzo,1290697.0,4969132.0,13
4,Basilicata,388500.0,1292030.0,17
5,Basilicata,390487.0,1336444.0,17
6,Basilicata,409854.0,1333817.0,17
7,Basilicata,409843.0,1340650.0,17
8,Calabria,1351338.0,6854596.0,18
9,Calabria,1353431.0,6851608.0,18
10,Calabria,1261300.0,6580842.0,18
11,Calabria,1306156.0,6879827.0,18
12,Campania,3912331.0,13378562.0,15
13,Campania,3782588.0,12775084.0,15
14,Campania,4008532.0,13683540.0,15
15,Campania,4347605.0,14843685.0,15
16,Emilia-Romagna,7659323.0,30568521.0,8
17,Emilia-Romagna,7558161.0,30175226.0,8
18,Emilia-Romagna,7708061.0,29807436.0,8
19,Emilia-Romagna,8033750.0,30603273.0,8
20,Friuli-Venezia Giulia,1316663.0,3692535.0,6
21,Friuli-Venezia Giulia,1318153.0,3699625.0,6
22,Friuli-Venezia Giulia,1340778.0,3740626.0,6
23,Friuli-Venezia Giulia,1401381.0,3909903.0,6
24,Lazio,9563012.0,26628665.0,12
25,Lazio,9172374.0,25582535.0,12
26,Lazio,9184443.0,25663343.0,12
27,Lazio,9205659.0,25767817.0,12
28,Liguria,2946839.0,10006181.0,7
29,Liguria,2906018.0,9581104.0,7
30,Liguria,2946105.0,9468836.0,7
31,Liguria,3046795.0,9616896.0,7
32,Lombardia,9810628.0,22749427.0,3
33,Lombardia,10327646.0,23380379.0,3
34,Lombardia,11185997.0,24771419.0,3
35,Lombardia,12007473.0,26384596.0,3
36,Marche,1509980.0,6583932.0,11
37,Marche,1471781.0,5676822.0,11
38,Marche,1544288.0,5393023.0,11
39,Marche,1571360.0,5455452.0,11
40,Molise,167106.0,396557.0,14
41,Molise,160370.0,397254.0,14
42,Molise,157106.0,383157.0,14
43,Molise,173468.0,416106.0,14
44,Piemonte,2747466.0,7499879.0,1
45,Piemonte,2948253.0,7167700.0,1
46,Piemonte,3193461.0,8026222.0,1
47,Piemonte,3290535.0,8272766.0,1
48,Puglia,2261875.0,7242319.0,16
49,Puglia,2275722.0,7431035.0,16
50,Puglia,2348192.0,7662513.0,16
51,Puglia,2428566.0,8165337.0,16
52,Sardegna,1805023.0,8382167.0,20
53,Sardegna,1821863.0,8243072.0,20
54,Sardegna,1797723.0,8311799.0,20
55,Sardegna,1755879.0,8298152.0,20
56,Sicilia,3667805.0,11731914.0,19
57,Sicilia,3541810.0,11541885.0,19
58,Sicilia,3467843.0,11243531.0,19
59,Sicilia,3624253.0,11730215.0,19
60,Toscana,7806676.0,21771763.0,9
61,Toscana,7586118.0,21215900.0,9
62,Toscana,8138074.0,22182661.0,9
63,Toscana,8509277.0,23295433.0,9
64,Trentino-Alto Adige,6949384.0,33654681.0,4
65,Trentino-Alto Adige,7095442.0,33956606.0,4
66,Trentino-Alto Adige,7273594.0,34372838.0,4
67,Trentino-Alto Adige,7454559.0,34487900.0,4
68,Umbria,1522032.0,3214309.0,10
69,Umbria,1385057.0,2968175.0,10
70,Umbria,1445238.0,3012560.0,10
71,Umbria,1546618.0,3198689.0,10
72,Valle d'Aosta,640600.0,2313543.0,2
73,Valle d'Aosta,644967.0,2240428.0,2
74,Valle d'Aosta,657016.0,2221175.0,2
75,Valle d'Aosta,687158.0,2285096.0,2
76,Veneto,9782997.0,28593859.0,5
77,Veneto,9476154.0,27748548.0,5
78,Veneto,10087719.0,28292030.0,5
79,Veneto,10964737.0,29989927.0,5
